"","GSM1169222","GSM1169223","GSM1169224","GSM1169225","GSM1169226","GSM1169227","GSM1169228","GSM1169229","GSM1169230","GSM1169231","GSM1169232","GSM1169233","GSM1169234","GSM1169235","GSM1169236","GSM1169237"
"'PCCGCIGL_07263'",-0.1016601433111,-0.553356062815512,-0.790372395405648,0.358716473396136,0.37119430763938,-0.657376567680141,1.46696835222816,0.0563990746278747,-1.0383825185904,-0.347164965344122,-0.0681430333852138,-0.191758457017488,-0.734313911543358,1.11777365333958,-0.337786257934985,-0.226429666909623
"'PCCGCIGL_01214'",0.187796772405834,0.396029086165501,0.497949451776394,0.552251451391949,0.555604566451012,0.862323507136816,0.688633767289376,0.562992326242803,-0.1823664150654,-0.0590473062488317,0.0471930615315313,-0.211753699294133,-0.720451070594988,-0.228872244662888,-0.401375005195915,-0.492000377597289
"'PCCGCIGL_00447'",0.220083618946834,0.327521997904891,0.203899658843412,0.290355071747011,0.119845427090435,-0.172511227842434,0.330845011930113,-0.107183440473336,-0.0919080873124506,-0.294338643165362,-0.261827575273383,-0.377396110673673,0.318342107168022,0.582269894691446,0.225023147151538,0.102234582158184
"'PCCGCIGL_06872'",-0.106903233650601,-0.175497324286495,-0.100050974338736,-0.256446742663578,-0.318410029245113,-0.425054839762599,-0.43874224522528,-0.186501464767276,0.0477556269781546,-0.165375381367967,-0.109875119787749,-0.0159867612271254,1.17763178406049,0.963251695015413,0.622995102629986,0.678585648715596
"'PCCGCIGL_06872'",-0.488989346320372,-0.268759808930574,-0.413979654192811,-0.641422814234353,-0.251848432652908,-0.207228625939594,-0.300162362983861,-0.242008493549573,-0.14461722918384,-0.388717894861476,-0.37526421929606,-0.35784387093043,0.964271019626759,0.810962581198989,0.606237154534779,1.13949007863877
"'PCCGCIGL_04598'",-2.18302066884273,-2.28483737018715,-2.27000244208063,-2.27526192046189,-2.74071028705509,-2.62017866841312,-2.54722741192087,-2.69254148361576,-1.7046636916309,-1.95680293390188,-1.66253825260221,-1.37980852790829,1.78132973785379,1.5578048018862,1.68752245822135,1.07738025108692
"'PCCGCIGL_06483'",-0.0922359725961535,-0.347507539261836,-0.00399072716458102,0.183702946934051,0.537224200547761,0.0249455369300736,0.356532489995518,0.604508975696673,-0.702128117373602,-0.175422646104488,0.374596218662112,0.223990813000123,-0.31072226647927,0.340491696919231,-0.42611481122431,0.704673457842898
"'PCCGCIGL_06239'",0.136536879944635,0.295116023931737,0.257154562804804,0.330338896242694,-0.0369678167590174,-0.15078245094071,0.0861562454859113,0.0276989152904034,0.207745231835613,0.235232190044528,0.119985128910012,0.151343479960815,0.0806604784185772,0.135781321126521,0.16344723131417,0.165487743236199
"'PCCGCIGL_07318'",3.31150701737142,3.33551995511974,3.09101415878957,3.07746599755678,3.14751961303327,3.04295012191024,2.92508982980725,2.96709843278829,2.86578469292958,2.81123560609166,3.4493792469453,3.00409266892051,0.0656962288942283,0.737633915446067,0.755680685778998,0.578305144542386
"'PCCGCIGL_04366'",-0.0568834686110577,-0.0633501421738245,-0.192198116913638,0.0851524583785663,0.0417254275600054,-0.0843957522301583,-0.00074260234627811,0.237911063486446,-0.811476732074494,-0.734957626770349,-0.829414334795608,-0.788415327259289,0.253952829620658,0.206728679827483,0.0743008046553073,0.246722481656629
"'PCCGCIGL_04784'",0.069549941342441,0.00542908255763554,-0.16470967273084,-0.248028826192359,-0.157477421136036,-0.117837823996187,-0.251986698826391,-0.206432284208719,0.435997362304691,0.30991684767743,0.436387635084295,0.372328549775438,-0.157898575365626,-0.179789411949998,-0.0824805880177221,-0.0307295659320388
